,name,link,employer,sal_min,sal_max,sal_cur
0,Senior Data Scientist,https://hh.ru/vacancy/37935294?query=data%20scientist, Gradient,300000,,руб.
1,Data Scientist,https://hh.ru/vacancy/37782747?query=data%20scientist,ООО СКАЙТРЭК,120000,180000,руб.
2,Data Scientist,https://hh.ru/vacancy/37635578?query=data%20scientist,ООО КРИПТОН,120000,180000,руб.
3,Data Scientist (Computer Vision),https://hh.ru/vacancy/38090271?query=data%20scientist, Tevian (ООО Технологии видеоанализа),90000,200000,руб.
4,Data Scientist (Limassol),https://hh.ru/vacancy/37961496?query=data%20scientist, Easybrain,,,
5,Аналитик,https://hh.ru/vacancy/37658350?query=data%20scientist, Markeaze Inc.,,,
6,Quantitative Researcher (Deep Research),https://hh.ru/vacancy/37374211?query=data%20scientist, WorldQuant,,,
7,Product Manager (ML),https://hh.ru/vacancy/37658343?query=data%20scientist, Markeaze Inc.,,,
8,Data engineer,https://hh.ru/vacancy/37571165?query=data%20scientist, Билайн,,,
9,Java developer,https://hh.ru/vacancy/37692067?query=data%20scientist, Билайн,,,
10,Data Scientist,https://hh.ru/vacancy/37559909?query=data%20scientist, Тинькофф,,,
11,Data Scientist (Computer Vision),https://hh.ru/vacancy/34982073?query=data%20scientist, Тинькофф,,,
12,Senior Data Science / Team Lead,https://hh.ru/vacancy/38095388?query=data%20scientist, ПРАЙМ ГРУП,250000,,руб.
13,DS Teamlead на голосовые сервисы,https://hh.ru/vacancy/37247151?query=data%20scientist, Тинькофф,,,
14,Аналитик данных (Data Analyst/Data Scientist),https://hh.ru/vacancy/38094851?query=data%20scientist,ООО СтандартПроект,,,
15,Data Scientist,https://hh.ru/vacancy/36519811?query=data%20scientist, Авито,,,
16,Data Scientist (HR data),https://hh.ru/vacancy/38091262?query=data%20scientist, Северсталь. Управляющая компания,,,
17,Data Scientist in Oil & Gas,https://hh.ru/vacancy/38087943?query=data%20scientist,ООО Инжиниринговый Центр МФТИ по полезным ископаемым,,,
18,Валидатор (Data Scientist),https://hh.ru/vacancy/36741181?query=data%20scientist," «РОСБАНК, Societe Generale Group», с опытом работы",,,
19,Data Scientist,https://hh.ru/vacancy/38083739?query=data%20scientist," «РОСБАНК, Societe Generale Group», с опытом работы",,,
