,name,link,employer,salary_min,salary_max,salary_currency
0,Аналитик в департамент продаж,https://hh.ru/vacancy/38185609?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Zoon.ru,80000.0,120000.0,руб.
1,Ведущий аналитик,https://hh.ru/vacancy/38112860?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, СофтТелематика,150000.0,200000.0,руб.
2,Аналитик,https://hh.ru/vacancy/38165531?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Кредитные Системы,60000.0,90000.0,руб.
3,Аналитик-тестировщик,https://hh.ru/vacancy/37821562?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," ЦУМ, IT",,,
4,Аналитик данных (data analyst),https://hh.ru/vacancy/38176724?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," Персонал-Exclusive, Первое рекрутинговое агентство",150000.0,200000.0,руб.
5,Финансовый аналитик,https://hh.ru/vacancy/38081666?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Ф1брокер,80000.0,,руб.
6,Ведущий аналитик/Главный аналитик,https://hh.ru/vacancy/38139205?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Центр инноваций и информационных технологий,,240000.0,руб.
7,Продуктовый аналитик,https://hh.ru/vacancy/38199040?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО 24Н Софт,140000.0,230000.0,руб.
8,Бизнес-аналитик на проект,https://hh.ru/vacancy/38139702?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Startup Rock Stars,,150000.0,руб.
9,Главный инвестиционный аналитик,https://hh.ru/vacancy/38199368?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,АО Мосинжпроект,112000.0,140000.0,руб.
10,Старший аналитик,https://hh.ru/vacancy/37679543?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ГОЛДЕНГУС ИНТЕРНЕШНЛ,150000.0,250000.0,руб.
11,Экономист-аналитик,https://hh.ru/vacancy/38080031?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Нэтфикс,70000.0,,руб.
12,Аналитик соцмедиа,https://hh.ru/vacancy/37988117?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Web Interactive World,120000.0,,руб.
13,Аналитик бизнес-процессов,https://hh.ru/vacancy/38128962?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,АО Мособлгаз,150000.0,150000.0,руб.
14,Аналитик бизнес-процессов,https://hh.ru/vacancy/37870196?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, «Серволюкс Восток»,130000.0,,руб.
15,Экономист-аналитик,https://hh.ru/vacancy/38187990?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, ФГУП ДСО ФМБА России,60000.0,80000.0,руб.
16,Бизнес-аналитик,https://hh.ru/vacancy/38094083?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ИП Бабаев Олег Иосифович,150000.0,,руб.
17,Продуктовый аналитик,https://hh.ru/vacancy/38053356?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Константа,160000.0,190000.0,руб.
18,Аналитик,https://hh.ru/vacancy/37401421?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Haier,,,
19,Экономист-аналитик,https://hh.ru/vacancy/38091266?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Yumbaker,,70000.0,руб.
20,Аналитик,https://hh.ru/vacancy/36880234?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Lenvendo,130000.0,160000.0,руб.
21,Digital Аналитик (Data Science),https://hh.ru/vacancy/38211522?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, БУРГЕР КИНГ РОССИЯ,,,
